event_num,event,date,venue,location,attendance,event_id
513,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Ginásio Nilson Nelson,"Brasília, Brazil",0,0efcb7c1bb000cfde83b2e9ed6491f4c03393af77af4655c94f418e2f92d4daa
512,UFC 248: Adesanya vs. Romero,2020-03-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","15,077",0223436ad4e6892e65d015ed7194f7d91ebbd7e85a34f76ea5476fbadb4f5986
511,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,Chartway Arena,"Norfolk, Virginia, U.S.","7,098",0261e9856d60b3b82a945df0dec8cba3b44715803e73a14f4058dfcf5fa0aed0
510,UFC Fight Night: Felder vs. Hooker,2020-02-23,Spark Arena,"Auckland, New Zealand","10,025",f31fac6895c183f460933d8c5ef260cd4b6d2435442a46dbecdd6e5bae4262ed
509,UFC Fight Night: Anderson vs. Błachowicz 2,2020-02-15,Santa Ana Star Center,"Rio Rancho, New Mexico, U.S.","6,449",50f58f2f37ec61d8394f907b35c873fcdf7634b181a96624334901f0b360a196
508,UFC 247: Jones vs. Reyes,2020-02-08,Toyota Center,"Houston, Texas, U.S.","17,401",cbee25cbabd4af058defa1c4022e38873b82f1761e70fcb24941d83af32d9d43
507,UFC Fight Night: Blaydes vs. dos Santos,2020-01-25,PNC Arena,"Raleigh, North Carolina, U.S.","14,533",1acc9f425ec0f933d46061881dac48a21349c9a365121d73b6a7b61fb833ea68
506,UFC 246: McGregor vs. Cowboy,2020-01-18,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,040",43bff518264a0fd2b7edfb9a652932c71b929cc6cdef0bcf2361fd0e97fc7428
505,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,Sajik Arena,"Busan, South Korea","10,651",2ce48cdc1c7a92b92c9fd33349516b9c31919354cb2976a558623a7978e9b5bf
504,UFC 245: Usman vs. Covington,2019-12-14,T-Mobile Arena,"Las Vegas, Nevada, U.S.","16,811",bd6d879c0c62f662c3edddf6c4a50db5d6645fd004b843c57219d3ae56bce660
503,UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07,Capital One Arena,"Washington, D.C., U.S.","10,816",b61bef8a51927de106c8379170a5896847567bdcf9589fc68511a11d45245bcc
502,UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,Ginásio do Ibirapuera,"São Paulo, Brazil","10,344",e10d7d36d49bc738f65f39f0baab4cb2c7cbda9921d5f5ee2328872af6c5e259
501,UFC Fight Night: Magomedsharipov vs. Kattar,2019-11-09,CSKA Arena,"Moscow, Russia","11,305",9d1da810a59bb45ddf12e4b527a8353dc270199d1ce87e91694167b07ac22779
500,UFC 244: Masvidal vs. Diaz,2019-11-02,Madison Square Garden,"New York City, New York, U.S.","20,143",f36f6335f8641db3fc3b662731a76ea455c1ec1f3732c0f221e1d8c636cd135a
499,UFC Fight Night: Maia vs. Askren,2019-10-26,Singapore Indoor Stadium,"Kallang, Singapore","7,155",64b3261e3ba7ee173589cd06c5d003d353e83608b713778c9c2c34449f9be883
498,UFC on ESPN: Reyes vs. Weidman,2019-10-18,TD Garden,"Boston, Massachusetts, U.S.","12,066",36e159739f48ddb57ebb13ab3e58c5ace2b6a5bb72da7aec3e5a25c716863e80
497,UFC Fight Night: Joanna vs. Waterson,2019-10-12,Amalie Arena,"Tampa, Florida, U.S.","10,597",17d2caa867a8d0155033026cb9ffb8c17db1726e7c7687cff1ea3567bfce30ec
496,UFC 243: Whittaker vs. Adesanya,2019-10-05,Marvel Stadium,"Melbourne, Australia","57,127",74f3626bae38ea8df9c64978263085fc5a2535d366f16718187678713d74d7fc
495,UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Royal Arena,"Copenhagen, Denmark","12,767",42f28817bc5e4b1494f2dc5e14fd97232627e26736584d37a3bd373bf5b78a73
494,UFC Fight Night: Rodríguez vs. Stephens,2019-09-21,Arena Ciudad de México,"Mexico City, Mexico","10,112",2f42742cdbadbe2addd8d9122b5e6358bcaaf730ca8542c27dc81986a2426b0f
493,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Rogers Arena,"Vancouver, British Columbia, Canada","15,114",1b9a955ca2d876e89cce5f4e66880eecae688c7da9a54217ed2484f39c5c5da1
492,UFC 242: Khabib vs. Poirier,2019-09-07,"The Arena, Yas Island","Abu Dhabi, United Arab Emirates",,4cab26890a19b7dc7cd691f72279109bd7ea1bea65b86fd0c4b8506f2a2dd6ce
491,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,"Shenzhen, China","10,302",870cfca95b7caa9d62449c945c752e8eb76575e27411a9b3cfac142b185fd5b2
490,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,"Anaheim, California, U.S.","17,304",ebde1410b4ad7e17c42ac0c342bf2ad47f1312ad6d5f54e1bf11d7ae9d562fb7
489,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,"Montevideo, Uruguay","9,225",192f765d672aff403f202964ae2e3eb5cd0b88a158ded5006d4c461339021ad4
488,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,"Newark, New Jersey, U.S.","10,427",6679de4b29263757f3fcb1207000fda521182363589e0baad4645e2cdceb7897
487,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,"Edmonton, Alberta, Canada","12,144",50d1b20336f0640b60d4b0a3d2bd1faf49367dbc13a691d46f2c7783dfe8b438
486,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,"San Antonio, Texas, U.S.","9,255",dfe21c292dc9a0ac66f60e051e4ad82a00b52ab943f87c617c9a24f39b5e598e
485,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,"Sacramento, California, U.S.","10,306",6e1885b8b1e47fad24888eda40decbd73f27cd002386a2338316c558a617ec90
484,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,358",bbddbc0a0aa23116db444d679f7f475649cc39aef7557fe471d39cfe692df5a4
483,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,"Minneapolis, Minnesota, U.S.","10,123",a88ba875282e7cb35d8ce55c081ad3acfc7a218011e601701023c1420fe70a04
482,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Bon Secours Wellness Arena,"Greenville, South Carolina, U.S.","7,682",95f546fb6663bd773dae4025f889a6728bdb13fc2edbd23f94ed9e9926dbe7f1
481,UFC 238: Cejudo vs. Moraes,2019-06-08,United Center,"Chicago, Illinois, U.S.","16,083",1c62d13cf60b51d5ab87051974fad442fe39263890ec9bf53b2c239a95decfd7
480,UFC Fight Night: Gustafsson vs. Smith,2019-06-01,Ericsson Globe,"Stockholm, Sweden","14,319",cf6ce14dcd6c478427b0b8d05a56862c0fec8a1c489cde8678b8be17273904d3
479,UFC Fight Night: dos Anjos vs. Lee,2019-05-18,Blue Cross Arena,"Rochester, New York, U.S.","8,132",c99dd52d9fe27f87fb32666444f51be0ee14d34dc389526265353ca150b34902
478,UFC 237: Namajunas vs. Andrade,2019-05-11,Jeunesse Arena,"Rio de Janeiro, Brazil","15,193",b018c3af42aa45ad7b50a25e6347ea532df5f6dc2685797b4533aa3b5a9bab0b
477,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,Canadian Tire Centre,"Ottawa, Ontario, Canada","10,960",8b7443c7c5e2f2f1edf0c2be3695c33099f0315ab4184ec26d858ba58d355a5b
476,UFC Fight Night: Jacaré vs. Hermansson,2019-04-27,BB&T Center,"Sunrise, Florida, U.S.","12,754",8d3d6568606c65bd310697d0aa6e498f80a1eb3b3e0f8fc8a75bca904dc3c506
475,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,Yubileyny Sports Palace,"Saint Petersburg, Russia","7,236",982ab3b0bc592b354b4243d601333817046237a05d2260dcdad8385c463329f7
474,UFC 236: Holloway vs. Poirier 2,2019-04-13,State Farm Arena,"Atlanta, Georgia, U.S.","14,297",236afafd5d36e9b16f7a76b682b8c4785040c76f3dfbfe6b04b081ec72ba7739
473,UFC on ESPN: Barboza vs. Gaethje,2019-03-30,Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.","11,123",be40eb5efdf02fe579d96bd561723ba5bf832f0444c6b5935ed7cd6acde16d45
472,UFC Fight Night: Thompson vs. Pettis,2019-03-23,Bridgestone Arena,"Nashville, Tennessee, U.S.","10,863",bd2f88eb34f9016bcd103c01263a64c40138c2d25723276607283a0f92612bd1
471,UFC Fight Night: Till vs. Masvidal,2019-03-16,The O2 Arena,"London, England, UK","16,602",bcf4d6f63e984f3b9a6f2e4d63de17ad113695f4b513787ccba95552641957b3
470,UFC Fight Night: Lewis vs. dos Santos,2019-03-09,Intrust Bank Arena,"Wichita, Kansas, U.S.","7,265",2d8aba87ebe03c7f511f287a9202de5a35d8bd362a5fe13541372c24c2584462
469,UFC 235: Jones vs. Smith,2019-03-02,T-Mobile Arena,"Las Vegas, Nevada, U.S","14,790",201c68643d6022df407cd57f22ddff19e4d7e8d15deb9541983576995394c8f8
468,UFC Fight Night: Błachowicz vs. Santos,2019-02-23,O2 arena,"Prague, Czech Republic","16,583",f0d9ba0b189e916c29672ab59b2818940b2d762b11e8e4c362c03ae318bede02
467,UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","14,269",c047265a333eb518b073450c2437ac8102413f9aeb3bdd3c819a5dd76b8f31e5
466,UFC 234: Adesanya vs. Silva,2019-02-10,Rod Laver Arena,"Melbourne, Australia","15,238",30c812ea22b00f1c68dea5fd91e2ced1782fc7bfb46b8813f0ddb7185b0bcb41
465,UFC Fight Night: Assunção vs. Moraes 2,2019-02-02,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","10,040",b7568a74c6c1aefb948a5e7541305e4f802a0d5fec99c6e68b5d2b9ac1059756
cancelled,UFC 233: Cejudo vs. Dillashaw,2019-01-26,Honda Center,"Anaheim, California, U.S.",Canceled,827ed14831229de3e62c3d60d69e6c7280487f0c7abd7bbd968d4a1de959c35d
464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,Barclays Center,"Brooklyn, New York, U.S.","12,152",df21499333aced6fdae2d4120e79dadd0bbed287e47ebc9773073252afdf61aa
463,UFC 232: Jones vs. Gustafsson 2,2018-12-29,The Forum,"Inglewood, California, U.S.","15,862",6dd730ac62059f863337f4ee9f7186c72cc16e07f0803ab50e8de1865e6e05a3
462,UFC on Fox: Lee vs. Iaquinta 2,2018-12-15,Fiserv Forum,"Milwaukee, Wisconsin, U.S.","9,010",873ff12c41e6b509e40b4822dab84d34a51425cb82a16836c326a0df54752edb
461,UFC 231: Holloway vs. Ortega,2018-12-08,Scotiabank Arena,"Toronto, Ontario, Canada","19,039",1ae855f1b240a06dd11650d49cd11e7135dc0c834cb9b8f291be16778d8b2a06
460,UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02,Adelaide Entertainment Centre,"Adelaide, Australia","8,652",73f75bfe7e5c7a707e1ebb154838deea5278b6860e2692ef6cc2b89362e4303f
459,The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,Pearl Theatre,"Las Vegas, Nevada, U.S.","2,020",5d463d52e826271d83dcbf2e903c48c50685e9a58e9d97da22bd6fb55f048d8d
458,UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,Cadillac Arena,"Beijing, China","10,302",9f7ecf7a219312d5e546f32f2e857389e31aea5df470f53fae25dbe0f0f552a8
457,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,Estadio Mary Terán de Weiss,"Buenos Aires, Argentina","10,245",e7d5e400343e35a54c7d609e5b445d908b6e1c821277fe8751d981525b01b213
456,UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,Pepsi Center,"Denver, Colorado, U.S.","11,426",df2e3f293cccd62409eaad454f844b5f34591e5e22dc4d44e74c81b5c86095cb
455,UFC 230: Cormier vs. Lewis,2018-11-03,Madison Square Garden,"New York City, New York, U.S.","17,011",5d3fbbfb7c3c5a1b35ff09e51962daf67b7281575808f102255db1f8a7fd8b77
454,UFC Fight Night: Volkan vs. Smith,2018-10-27,Avenir Centre,"Moncton, New Brunswick, Canada","6,282",98d3f4c04ff9f0172fb8338f7282473bb3a3f9fe71a8df572282d52c911258bd
453,UFC 229: Khabib vs. McGregor,2018-10-06,T-Mobile Arena,"Las Vegas, Nevada, U.S","20,034",c58942d67d6c89b140248e80aca375be6f5634cf71083f326aa2c97e82d54e33
452,UFC Fight Night: Santos vs. Anders,2018-09-22,Ginásio do Ibirapuera,"São Paulo, Brazil","9,485",765bf8ff0f5fd4381092b51c502625fd27a4eb920f5bb419392ffc67c4f42184
451,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Olimpiyskiy Stadium,"Moscow, Russia","22,603",112a885b74d85475b16b7744cf6b190d9ef0718286812df3987cc0943b95f7ce
450,UFC 228: Woodley vs. Till,2018-09-08,American Airlines Center,"Dallas, Texas, U.S.","14,073",5486363791cb350e63d59fb80e2139379bae48c545d05b392aee974c8afa5cb7
449,UFC Fight Night: Gaethje vs. Vick,2018-08-25,Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.","6,409",0c90827fe68d1e296b5b1f2c714fc6b7d6146cfd5996a044099b93fe26f1fb9f
448,UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,Staples Center,"Los Angeles, California, U.S.","17,794",277aff8a7b2170f097c86300cc56ba636e61507252c16d04e75fc3eca2f2d513
447,UFC on Fox: Alvarez vs. Poirier 2,2018-07-28,Scotiabank Saddledome,"Calgary, Alberta, Canada","10,603",4a8c3958eeefece508bd289e814d0306a03a7cbcda053e86199e609c4140882e
446,UFC Fight Night: Shogun vs. Smith,2018-07-22,Barclaycard Arena,"Hamburg, Germany","7,798",713c24786b3eb2030436621a470bfc8a1dd99c6ff1e5f01bb843bb6718bab057
445,UFC Fight Night: dos Santos vs. Ivanov,2018-07-14,CenturyLink Arena,"Boise, Idaho, U.S.","5,648",25ead9600a3b3766a45b056982c91a062a8d8142a5206f535a83cd175cb3a08f
444,UFC 226: Miocic vs. Cormier,2018-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S","17,464",d7fde57d20e6d9a12f5331c3e50d52bed8c5666d1fff143ed2dd72160579c952
443,The Ultimate Fighter: Undefeated Finale,2018-07-06,Palms Casino Resort,"Las Vegas, Nevada, U.S","2,123",a993d83e4e21332540a74520c6d1f3e1795c652f5543f80047f02b054363c4a7
442,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Singapore Indoor Stadium,"Kallang, Singapore","6,419",0859727fd304674c631f91c1e3db1fe2c18c355f0a2ec7bb6f476c09647544b0
441,UFC 225: Whittaker vs. Romero 2,2018-06-09,United Center,"Chicago, Illinois, U.S.","18,117",c124737a8dea6155913d0c256ea3d7962aeda5217b4222d1bee97c86ca3a1664
440,UFC Fight Night: Rivera vs. Moraes,2018-06-01,Adirondack Bank Center,"Utica, New York, U.S.","5,063",fd636786f1925879172fe2b3d9935d0221a03af68e940711fe5609af3df58062
439,UFC Fight Night: Thompson vs. Till,2018-05-27,Echo Arena,"Liverpool, England, UK","8,520",b65155f3528e820bb51dd847960c08573f0c047a3b9f7ce98b1d7b8516cbde0c
438,UFC Fight Night: Maia vs. Usman,2018-05-19,Movistar Arena,"Santiago, Chile","11,082",20fd98885f138b732103271452615bc0d11eb3f2ba4de09f0056257158f3f678
437,UFC 224: Nunes vs. Pennington,2018-05-12,Jeunesse Arena,"Rio de Janeiro, Brazil","10,696",a3b380a9ebe4bc0e3b671d214851888cbb44556ca5876247a12d35a0d92078ae
436,UFC Fight Night: Barboza vs. Lee,2018-04-21,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","9,541",fd89c7127fdd165b452977a71d309d7bac306090ac7067a19945678a323a9ae9
435,UFC on Fox: Poirier vs. Gaethje,2018-04-14,Gila River Arena,"Glendale, Arizona, U.S.","11,382",f7bfd78cd4d2b9fbd42579c11da15e080a06835b996082a25a875da259ad5af6
434,UFC 223: Khabib vs. Iaquinta,2018-04-07,Barclays Center,"Brooklyn, New York, U.S.","17,026",e230a6134e5c52d8c001e433a37dfd5bcdb2d09527f24f33609a877b6dedd9e0
433,UFC Fight Night: Werdum vs. Volkov,2018-03-17,The O2 Arena,"London, England, UK","16,274",b7a9c2bd6135eeaf83e4ecb30adf3d6e87211d4cd5d44ab1e43200a4dcdc3d45
432,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,041",e0e22763a7d896da99a1713f26e0517542c03582a0078cbd344ac7ff0d716c4c
431,UFC on Fox: Emmett vs. Stephens,2018-02-24,Amway Center,"Orlando, Florida, U.S.","10,124",7ddfb8813d5c6e37508d29cf7c19990bea236e226c0bc207f7d74eef40cced49
430,UFC Fight Night: Cowboy vs. Medeiros,2018-02-18,Frank Erwin Center,"Austin, Texas, U.S.","10,502",055d4a6b157b5f50efc4142daecef19a8b74eafa5e2778a27102b3d3aba579b4
429,UFC 221: Romero vs. Rockhold,2018-02-11,Perth Arena,"Perth, Australia","12,437",e2f7de8a0a0edcfea363383a77c7bc560e2f53e11830bd463c06f6c1842c7b69
428,UFC Fight Night: Machida vs. Anders,2018-02-03,Arena Guilherme Paraense,"Belém, Brazil","10,144",6d41456582bc5b05dd69ba58f2f4b12abe4675ed12cdf9cf4700b55cbc624d5e
427,UFC on Fox: Jacaré vs. Brunson 2,2018-01-27,Spectrum Center,"Charlotte, North Carolina, U.S.","10,249",08c4ab2d12072cc965a3d764588a731e6e45bb01b6ed5fe6396847f1d8ecacaa
426,UFC 220: Miocic vs. Ngannou,2018-01-20,TD Garden,"Boston, Massachusetts, U.S.","16,015",67313230f3b531f04eb0be3ec1457e1928d844ed2f31cab641d6102646898f19
425,UFC Fight Night: Stephens vs. Choi,2018-01-14,Scottrade Center,"St. Louis, Missouri, U.S.","10,052",ff9a1966da206c6823e7bc967ade17b4b45b6a9bd85200253d17f56cde2b630c
424,UFC 219: Cyborg vs. Holm,2017-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,561",6611005674a8f6f8ac13201b60ec3d60e35254a0ef4db1c70cee0bdf1efe76a1
423,UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Bell MTS Place,"Winnipeg, Manitoba, Canada","8,862",c7f6d3d9be377b6f1d40e462cf16ce62d8f42cd9009b3799f269100a99ee4c5f
422,UFC Fight Night: Swanson vs. Ortega,2017-12-09,Save Mart Center,"Fresno, California, U.S.","7,605",e1b8060a76a6d7dd6303e6add0faa822a7f732a6ef033f50e011a36aa202f206
421,UFC 218: Holloway vs. Aldo 2,2017-12-02,Little Caesars Arena,"Detroit, Michigan, U.S.","17,587",58aa7a52c48d5bba3592d13bd44b97d271bb811318f088486ee9a2d1baddace7
420,The Ultimate Fighter: A New World Champion Finale,2017-12-01,Park Theater,"Las Vegas, Nevada, U.S.",,b3b9f777a195ecb52f769fca726d13b71c27a22712af515fd4a8287837081ada
419,UFC Fight Night: Bisping vs. Gastelum,2017-11-25,Mercedes-Benz Arena,"Shanghai, China","15,128",be669e831301b3afcc8c497cad35f5fd1607cfc82076ec5e8f19d65a6f4c70e9
418,UFC Fight Night: Werdum vs. Tybura,2017-11-19,Qudos Bank Arena,"Sydney, Australia","10,021",03a10c173962f8261dc90050755c88f0f6af2701eacbc7d975b39b04cca3ec4f
417,UFC Fight Night: Poirier vs. Pettis,2017-11-11,Ted Constant Convocation Center,"Norfolk, Virginia, U.S.","8,442",d2136b34a6ae01469695fc01689e14aaab68b5595a9a0be9eb1e7ac4390d1403
416,UFC 217: Bisping vs. St-Pierre,2017-11-04,Madison Square Garden,"New York City, New York, U.S.","18,201",db9558f67c817c9eec7a38ae95a71d1d38be78b8e65f5a2706590ef1ae78d03b
415,UFC Fight Night: Brunson vs. Machida,2017-10-28,Ginásio do Ibirapuera,"São Paulo, Brazil","10,265",8c56d5d7c70c53741a4b766dcb6e1e42b6470454845843c90e0e70fabdf9bb05
414,UFC Fight Night: Cowboy vs. Till,2017-10-21,Ergo Arena,"Gdańsk, Poland","11,138",9263d81826adbabf7821f6015bdff0b4ced569abf7830c529b21e3d87e771a94
413,UFC 216: Ferguson vs. Lee,2017-10-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","10,638",6bd43eb1ffa807e7f77dd7d5bf4e757837b8214a72db4bf401c906a91fc41e03
412,UFC Fight Night: Saint Preux vs. Okami,2017-09-23,Saitama Super Arena,"Saitama, Japan","8,571",77c560e1c5902d22a606370da2d6de55b7710c1faac7b8da752d1ce699aef038
411,UFC Fight Night: Rockhold vs. Branch,2017-09-16,PPG Paints Arena,"Pittsburgh, Pennsylvania, U.S.","7,005",769db95c3f717079545c63db6d32bfb00acdb7ee6cc906ab0caedb32d2e8d134
410,UFC 215: Nunes vs. Shevchenko 2,2017-09-09,Rogers Place,"Edmonton, Alberta, Canada","16,232",a05b0f6f6acbf7411f685631d9f1585478267a53d70c44018ec170ecc10682b1
409,UFC Fight Night: Volkov vs. Struve,2017-09-02,Rotterdam Ahoy,"Rotterdam, Netherlands","10,224",656f88bc6d99815c7ab72bc448e5b036c15904b66a7288d10b50d24ec38988c8
408,UFC Fight Night: Pettis vs. Moreno,2017-08-05,Arena Ciudad de México,"Mexico City, Mexico","10,172",094ac098d6b247ddea6aa1cdb76ce4307342a6fb6e55ba251cb9f86d14232e08
407,UFC 214: Cormier vs. Jones 2,2017-07-29,Honda Center,"Anaheim, California, U.S.","16,610",46af1602cd1972c549c72972aec54d755a012629928a2c0945d5a98acd6bae3e
406,UFC on Fox: Weidman vs. Gastelum,2017-07-22,Nassau Veterans Memorial Coliseum,"Uniondale, New York, U.S.","11,198",cae384fe3001170e85d1fdc28a7caaccbf8bee31f95327f94acca7ba9a317826
405,UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16,The SSE Hydro,"Glasgow, Scotland, UK","10,589",0d77ad94ca8bf71b5f8ca26c66b7b090e1755adf608eeb1d63b3e65ffcd55e25
404,UFC 213: Romero vs. Whittaker,2017-07-08,T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,834",034b521381268ee4d087f053785621c42faade1905f1216f101ece0476938312
403,The Ultimate Fighter: Redemption Finale,2017-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","6,308",f414c6a22e235ec7715d432622138bc1bcc1f505140a46547808c1401bafef96
402,UFC Fight Night: Chiesa vs. Lee,2017-06-25,Chesapeake Energy Arena,"Oklahoma City, Oklahoma, U.S.","7,605",13e1144143d06fb4d39c4055d0819909161d774852f9b6dbd98d3bc1de92e5f5
401,UFC Fight Night: Holm vs. Correia,2017-06-17,Singapore Indoor Stadium,"Kallang, Singapore","8,414",d658803368992aba5945cdc684502ad020b2304acac6fd077fd8e96da5fa7956
400,UFC Fight Night: Lewis vs. Hunt,2017-06-11,Spark Arena,"Auckland, New Zealand","8,649",4c597be88d077f0fe6ead1bb871e64acbcfc255901dda3e22f2c0a2fe0c32c62
399,UFC 212: Aldo vs. Holloway,2017-06-03,Jeunesse Arena,"Rio de Janeiro, Brazil","15,412",7245a0bb2567d2cbfafba756be4d82bd00a5c9a10efeb25a3e10babb5be80d02
398,UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,Ericsson Globe,"Stockholm, Sweden","12,668",a2e7758586289c5c4306f722efc5c21bc96f35117457d2ab95b3608601bb554e
397,UFC 211: Miocic vs. dos Santos 2,2017-05-13,American Airlines Center,"Dallas, Texas, U.S.","17,834",dcdf305c48f9e07077bbf46a4aea670dc140c6624bce22e58b30afe8ea409faa
396,UFC Fight Night: Swanson vs. Lobov,2017-04-22,Bridgestone Arena,"Nashville, Tennessee, U.S.","10,144",0f5c2d6dd2f5e5e0e8277ac0e9c3eec779dda2bd29b08aa5db1cffaf9a8e1fdd
395,UFC on Fox: Johnson vs. Reis,2017-04-15,Sprint Center,"Kansas City, Missouri, U.S.","12,171",c55ebbc560b42b7499715dca7b83a5c01f5ae797fe0db8c537630b49b05053fb
394,UFC 210: Cormier vs. Johnson 2,2017-04-08,KeyBank Center,"Buffalo, New York, U.S.","17,110",fa7f94bb1c038e4ef6f598f61e57927606b3b1110a85488d7af48613f9803b13
393,UFC Fight Night: Manuwa vs. Anderson,2017-03-18,The O2 Arena,"London, England, UK","15,761",31dc582f14b951c93df89f63cfa062b02eeade9295ba24326728bae8f885b328
392,UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","14,069",2ead21b47ef50827a5d2e44805e84ffbdcd95a68d62c1b234a4f67945d6db1d2
391,UFC 209: Woodley vs. Thompson 2,2017-03-04,T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,150",1b94cc5509563f81d98ef5f1e3862962f4389a247de9863099f261b45c84aac9
390,UFC Fight Night: Lewis vs. Browne,2017-02-19,Scotiabank Centre,"Halifax, Nova Scotia, Canada","8,123",0965ef450d6a4c4766a7efbda12f7f707cda9d85fc1fe4fd7b64ca399dd51b9b
389,UFC 208: Holm vs. de Randamie,2017-02-11,Barclays Center,"Brooklyn, New York, U.S.","15,628",1b1d679760841aa6ad9a5077d1b2af9682fe8fe7abf28f1d785c44f8b4b40131
388,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,Toyota Center,"Houston, Texas, U.S.","8,119",1b643a246cf73de041992148f317e3f7c912ff214bbc68b3df2b655a6e2e251f
387,UFC on Fox: Shevchenko vs. Peña,2017-01-28,Pepsi Center,"Denver, Colorado, U.S.","13,233",5f86a79d3e8bd8ebbcb20409122027482f656bb6678a46b7ea4d2f37bbfc21aa
386,UFC Fight Night: Rodríguez vs. Penn,2017-01-15,Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","11,589",232e4bc662e4ca1d875a0a568e9d9613ef822f4a221a57d7b2c711b1cb8664ba
385,UFC 207: Nunes vs. Rousey,2016-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,533",c342011265a44aac9820fe446c2f71e6b29609970047a8afe2411f1ce5ab4a4f
384,UFC on Fox: VanZant vs. Waterson,2016-12-17,Golden 1 Center,"Sacramento, California, U.S.","13,136",3d703e88f4877b9ddbab193380c333251d0a72a00492ae8312010e00c7da0529
383,UFC 206: Holloway vs. Pettis,2016-12-10,Scotiabank Arena,"Toronto, Ontario, Canada","18,057",b6cd0fc4c186f786be54952e94cd4c9a59690e0624cfcb6d6817109ea379fd93
382,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,Times Union Center,"Albany, New York, U.S.","6,216",c7c375fed0eaff348e6a2b3b43804ba8cd2cb3a704eeb25c622a4e5eb3d06905
381,The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,044",289fcbc7bdd9d9526eb72b3b594566b90f2b0ce53cea3b4f0eb91ef4872ca72a
380,UFC Fight Night: Whittaker vs. Brunson,2016-11-27,Rod Laver Arena,"Melbourne, Australia","13,721",7105b18f115f7f9b4403d9480cdeb42d9b269c70b8adf88b14592da8c58b8791
379,UFC Fight Night: Bader vs. Nogueira 2,2016-11-19,Ginásio do Ibirapuera,"São Paulo, Brazil","9,028",85900eb21b2b7d17ea11e5d769da04c080e7df7f5979239cf4cecb7177513a85
378,UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,The SSE Arena,"Belfast, Northern Ireland, UK","7,222",371668b7c75e0bbf709f3000f2c3571611f4dd26e6f298f4a7c03bf463261d4c
377,UFC 205: Alvarez vs. McGregor,2016-11-12,Madison Square Garden,"New York City, New York, U.S.","20,427",4ca4bc7ab4c98379e625f8e1a48ee81368e99d70a3a6d72b80db9684b16f127c
